answer_id,local-authority-code,question_id,audited_answer,score,max_score
ABC_s2_m&a_q9_sp3,ABC,s2_m&a_q9_sp3,,,1
ABC_s2_m&a_q8_sp4,ABC,s2_m&a_q8_sp4,,,1
ABC_s6_cb_q20_sp1,ABC,s6_cb_q20_sp1,,,2
ABC_s3_c&a_q10_sp3,ABC,s3_c&a_q10_sp3,,,1
ABC_s4_coms_q16_sp1,ABC,s4_coms_q16_sp1,,,1
ABC_s5_mset_q18_sp3,ABC,s5_mset_q18_sp3,,,1
ABC_s8_est_q25_sp2,ABC,s8_est_q25_sp2,,,1
ABC_s1_gov_q2_sp3,ABC,s1_gov_q2_sp3,,,2
ABC_s1_gov_q4_sp5,ABC,s1_gov_q4_sp5,,,1
ABC_s2_m&a_q8_sp5,ABC,s2_m&a_q8_sp5,,,1
ABC_s9_ee_q27_sp1,ABC,s9_ee_q27_sp1,,,1
ABC_s1_gov_q5_sp2,ABC,s1_gov_q5_sp2,,,1
ABC_s1_gov_q1_sp3,ABC,s1_gov_q1_sp3,,,1
ABC_s3_c&a_q11_sp1,ABC,s3_c&a_q11_sp1,,,1
ABC_s1_gov_q6_sp1,ABC,s1_gov_q6_sp1,,,1
ABC_s8_est_q24_sp1,ABC,s8_est_q24_sp1,,,1
ABC_s5_mset_q18_sp2,ABC,s5_mset_q18_sp2,,,1
ABC_s8_est_q25_sp1,ABC,s8_est_q25_sp1,,,1
ABD_s1_gov_q6_sp1,ABD,s1_gov_q6_sp1,,,1
ABD_s5_mset_q19_sp2,ABD,s5_mset_q19_sp2,,,1
ABD_s7_dsi_q22_sp2,ABD,s7_dsi_q22_sp2,,,2
ABD_s2_m&a_q9_sp3,ABD,s2_m&a_q9_sp3,,,1
ABD_s4_coms_q14_sp1,ABD,s4_coms_q14_sp1,,,1
ABD_s2_m&a_q9_sp6,ABD,s2_m&a_q9_sp6,,,1
ABD_s2_m&a_q8_sp9,ABD,s2_m&a_q8_sp9,,,1
ABD_s8_est_q25_sp2,ABD,s8_est_q25_sp2,,,1
ABD_s2_m&a_q9_sp5,ABD,s2_m&a_q9_sp5,,,1
ABD_s4_coms_q15_sp1,ABD,s4_coms_q15_sp1,,,1
ABD_s8_est_q25_sp1,ABD,s8_est_q25_sp1,,,1
ABD_s1_gov_q4_sp1,ABD,s1_gov_q4_sp1,,,1
ABD_s1_gov_q6_sp3,ABD,s1_gov_q6_sp3,,,1
ABD_s1_gov_q4_sp4,ABD,s1_gov_q4_sp4,,,1
ABD_s2_m&a_q8_sp8,ABD,s2_m&a_q8_sp8,,,1
ABD_s4_coms_q16_sp1,ABD,s4_coms_q16_sp1,,,1
ABD_s1_gov_q5_sp1,ABD,s1_gov_q5_sp1,,,1
ABD_s6_cb_q21_sp2,ABD,s6_cb_q21_sp2,,,1
ABD_s4_coms_q13_sp3_new,ABD,s4_coms_q13_sp3_new,,,1
ABD_s1_gov_q2_sp1_v2_b,ABD,s1_gov_q2_sp1_v2_b,,,2
ABD_s7_dsi_q22_sp1,ABD,s7_dsi_q22_sp1,,,2
ABD_s1_gov_q1_sp2,ABD,s1_gov_q1_sp2,,,1
ABD_s4_coms_q13_sp2,ABD,s4_coms_q13_sp2,,,1
ABD_s2_m&a_q8_sp1,ABD,s2_m&a_q8_sp1,,,1
ABD_s5_mset_q18_sp2,ABD,s5_mset_q18_sp2,,,1
ABD_s1_gov_q4_sp5,ABD,s1_gov_q4_sp5,,,1
ABD_s2_m&a_q9_sp2,ABD,s2_m&a_q9_sp2,,,1
ABD_s2_m&a_q8_sp2,ABD,s2_m&a_q8_sp2,,,1
ABD_s4_coms_q15_sp2,ABD,s4_coms_q15_sp2,,,1
ABD_s3_c&a_q10_sp1,ABD,s3_c&a_q10_sp1,,,1
ABD_s8_est_q26_sp1,ABD,s8_est_q26_sp1,,,1
ABD_s2_m&a_q8_sp5,ABD,s2_m&a_q8_sp5,,,1
ABD_s2_m&a_q8_sp7,ABD,s2_m&a_q8_sp7,,,1
ABD_s2_m&a_q9_sp1,ABD,s2_m&a_q9_sp1,,,1
ABD_s4_coms_q17_sp1,ABD,s4_coms_q17_sp1,,,1
ABD_s2_m&a_q9_sp8,ABD,s2_m&a_q9_sp8,,,1
ABD_s1_gov_q2_sp3,ABD,s1_gov_q2_sp3,,,2
ABD_s1_gov_q3_sp2,ABD,s1_gov_q3_sp2,,,1
ABD_s1_gov_q4_sp2,ABD,s1_gov_q4_sp2,,,1
ABD_s3_c&a_q11_sp1,ABD,s3_c&a_q11_sp1,,,1
ABD_s3_c&a_q12_sp2,ABD,s3_c&a_q12_sp2,,,1
ABD_s2_m&a_q9_sp4,ABD,s2_m&a_q9_sp4,,,1
ABD_s8_est_q26_sp2,ABD,s8_est_q26_sp2,,,1
ABD_s1_gov_q3_sp1,ABD,s1_gov_q3_sp1,,,1
ABD_s5_mset_q18_sp1,ABD,s5_mset_q18_sp1,,,1
ABD_s2_m&a_q7_sp1,ABD,s2_m&a_q7_sp1,,,1
ABD_s1_gov_q2_sp1_v2,ABD,s1_gov_q2_sp1_v2,,,1
ABD_s3_c&a_q12_sp1,ABD,s3_c&a_q12_sp1,,,1
ABD_s6_cb_q21_sp1,ABD,s6_cb_q21_sp1,,,1
ABD_s5_mset_q18_sp3,ABD,s5_mset_q18_sp3,,,1
ABD_s1_gov_q2_sp2,ABD,s1_gov_q2_sp2,,,1
ABD_s1_gov_q1_sp1,ABD,s1_gov_q1_sp1,,,1
ABD_s4_coms_q14_sp2,ABD,s4_coms_q14_sp2,,,1
ABD_s5_mset_q19_sp1,ABD,s5_mset_q19_sp1,,,1
ABD_s9_ee_q27_sp3,ABD,s9_ee_q27_sp3,,,1
ABD_s6_cb_q20_sp1,ABD,s6_cb_q20_sp1,,,2
ABD_s2_m&a_q9_sp7,ABD,s2_m&a_q9_sp7,,,1
ABD_s3_c&a_q11_sp2,ABD,s3_c&a_q11_sp2,,,1
ABD_s8_est_q24_sp1,ABD,s8_est_q24_sp1,,,1
ABD_s2_m&a_q8_sp4,ABD,s2_m&a_q8_sp4,,,1
ABD_s3_c&a_q10_sp2,ABD,s3_c&a_q10_sp2,,,1
ABD_s1_gov_q1_sp3,ABD,s1_gov_q1_sp3,,,1
ABD_s9_ee_q27_sp1,ABD,s9_ee_q27_sp1,,,1
ABD_s1_gov_q4_sp3,ABD,s1_gov_q4_sp3,,,1
ABD_s2_m&a_q8_sp6,ABD,s2_m&a_q8_sp6,,,1
ABD_s9_ee_q28_sp1,ABD,s9_ee_q28_sp1,,,1
ABD_s1_gov_q5_sp2,ABD,s1_gov_q5_sp2,,,1
ABD_s3_c&a_q10_sp3,ABD,s3_c&a_q10_sp3,,,1
ABD_s1_gov_q6_sp2,ABD,s1_gov_q6_sp2,,,1
ABD_s4_coms_q15_sp3,ABD,s4_coms_q15_sp3,,,1
ABD_s9_ee_q27_sp2,ABD,s9_ee_q27_sp2,,,1
ABD_s7_dsi_q23_sp1,ABD,s7_dsi_q23_sp1,,,1
ABD_s2_m&a_q8_sp3,ABD,s2_m&a_q8_sp3,,,1
ABE_s1_gov_q4_sp2,ABE,s1_gov_q4_sp2,False,0.0,1
ABE_s2_m&a_q8_sp1,ABE,s2_m&a_q8_sp1,False,0.0,1
ABE_s1_gov_q1_sp2,ABE,s1_gov_q1_sp2,True,1.0,1
ABE_s8_est_q26_sp2,ABE,s8_est_q26_sp2,False,0.0,1
ABE_s1_gov_q5_sp2,ABE,s1_gov_q5_sp2,False,0.0,1
ABE_s2_m&a_q9_sp7,ABE,s2_m&a_q9_sp7,True,1.0,1
ABE_s1_gov_q2_sp1_v2_b,ABE,s1_gov_q2_sp1_v2_b,No,0.0,2
ABE_s1_gov_q6_sp3,ABE,s1_gov_q6_sp3,True,1.0,1
ABE_s5_mset_q18_sp2,ABE,s5_mset_q18_sp2,False,0.0,1
ABE_s6_cb_q20_sp1,ABE,s6_cb_q20_sp1,3 areas covered,1.0,2
ABE_s1_gov_q4_sp1,ABE,s1_gov_q4_sp1,True,1.0,1
ABE_s9_ee_q28_sp1,ABE,s9_ee_q28_sp1,False,0.0,1
ABE_s4_coms_q14_sp2,ABE,s4_coms_q14_sp2,False,0.0,1
ABE_s4_coms_q15_sp1,ABE,s4_coms_q15_sp1,True,1.0,1
ABE_s9_ee_q27_sp2,ABE,s9_ee_q27_sp2,False,0.0,1
ABE_s1_gov_q1_sp3,ABE,s1_gov_q1_sp3,False,0.0,1
ABE_s2_m&a_q9_sp4,ABE,s2_m&a_q9_sp4,True,1.0,1
ABE_s6_cb_q21_sp2,ABE,s6_cb_q21_sp2,False,0.0,1
ABE_s2_m&a_q8_sp5,ABE,s2_m&a_q8_sp5,False,0.0,1
ABE_s1_gov_q4_sp3,ABE,s1_gov_q4_sp3,False,0.0,1
ABE_s4_coms_q17_sp1,ABE,s4_coms_q17_sp1,True,1.0,1
ABE_s4_coms_q15_sp2,ABE,s4_coms_q15_sp2,True,1.0,1
ABE_s2_m&a_q7_sp1,ABE,s2_m&a_q7_sp1,True,1.0,1
ABE_s6_cb_q21_sp1,ABE,s6_cb_q21_sp1,True,1.0,1
ABE_s4_coms_q14_sp1,ABE,s4_coms_q14_sp1,False,0.0,1
ABE_s1_gov_q1_sp1,ABE,s1_gov_q1_sp1,True,1.0,1
ABE_s3_c&a_q10_sp1,ABE,s3_c&a_q10_sp1,True,1.0,1
ABE_s2_m&a_q8_sp7,ABE,s2_m&a_q8_sp7,False,0.0,1
ABE_s5_mset_q18_sp1,ABE,s5_mset_q18_sp1,False,0.0,1
ABE_s1_gov_q5_sp1,ABE,s1_gov_q5_sp1,True,1.0,1
ABE_s8_est_q25_sp1,ABE,s8_est_q25_sp1,True,1.0,1
ABE_s2_m&a_q8_sp4,ABE,s2_m&a_q8_sp4,False,0.0,1
ABE_s4_coms_q13_sp3_new,ABE,s4_coms_q13_sp3_new,False,0.0,1
ABE_s2_m&a_q8_sp8,ABE,s2_m&a_q8_sp8,False,0.0,1
ABE_s1_gov_q2_sp3,ABE,s1_gov_q2_sp3,False,0.0,2
ABE_s2_m&a_q8_sp9,ABE,s2_m&a_q8_sp9,False,0.0,1
ABE_s2_m&a_q9_sp5,ABE,s2_m&a_q9_sp5,True,1.0,1
ABE_s1_gov_q6_sp2,ABE,s1_gov_q6_sp2,True,1.0,1
ABE_s1_gov_q4_sp4,ABE,s1_gov_q4_sp4,False,0.0,1
ABE_s3_c&a_q12_sp2,ABE,s3_c&a_q12_sp2,False,0.0,1
ABE_s3_c&a_q10_sp3,ABE,s3_c&a_q10_sp3,False,0.0,1
ABE_s2_m&a_q8_sp3,ABE,s2_m&a_q8_sp3,False,0.0,1
ABE_s2_m&a_q8_sp6,ABE,s2_m&a_q8_sp6,False,0.0,1
ABE_s4_coms_q15_sp3,ABE,s4_coms_q15_sp3,False,0.0,1
ABE_s1_gov_q6_sp1,ABE,s1_gov_q6_sp1,True,1.0,1
ABE_s9_ee_q27_sp1,ABE,s9_ee_q27_sp1,False,0.0,1
ABE_s3_c&a_q10_sp2,ABE,s3_c&a_q10_sp2,True,1.0,1
ABE_s1_gov_q3_sp1,ABE,s1_gov_q3_sp1,True,1.0,1
ABE_s1_gov_q2_sp1_v2,ABE,s1_gov_q2_sp1_v2,False,0.0,1
ABE_s3_c&a_q12_sp1,ABE,s3_c&a_q12_sp1,True,1.0,1
ABE_s8_est_q25_sp2,ABE,s8_est_q25_sp2,False,0.0,1
ABE_s1_gov_q2_sp2,ABE,s1_gov_q2_sp2,False,0.0,1
ABE_s9_ee_q27_sp3,ABE,s9_ee_q27_sp3,False,0.0,1
ABE_s5_mset_q19_sp1,ABE,s5_mset_q19_sp1,True,1.0,1
ABE_s5_mset_q18_sp3,ABE,s5_mset_q18_sp3,False,0.0,1
ABE_s8_est_q24_sp1,ABE,s8_est_q24_sp1,False,0.0,1
ABE_s3_c&a_q11_sp2,ABE,s3_c&a_q11_sp2,False,0.0,1
ABE_s7_dsi_q23_sp1,ABE,s7_dsi_q23_sp1,False,0.0,1
ABE_s7_dsi_q22_sp2,ABE,s7_dsi_q22_sp2,False,0.0,2
ABE_s5_mset_q19_sp2,ABE,s5_mset_q19_sp2,True,1.0,1
ABE_s8_est_q26_sp1,ABE,s8_est_q26_sp1,False,0.0,1
ABE_s2_m&a_q9_sp2,ABE,s2_m&a_q9_sp2,True,1.0,1
ABE_s1_gov_q3_sp2,ABE,s1_gov_q3_sp2,True,1.0,1
ABE_s2_m&a_q8_sp2,ABE,s2_m&a_q8_sp2,False,0.0,1
ABE_s3_c&a_q11_sp1,ABE,s3_c&a_q11_sp1,False,0.0,1
ABE_s4_coms_q16_sp1,ABE,s4_coms_q16_sp1,True,1.0,1
ABE_s2_m&a_q9_sp8,ABE,s2_m&a_q9_sp8,True,1.0,1
ABE_s2_m&a_q9_sp3,ABE,s2_m&a_q9_sp3,True,1.0,1
ABE_s4_coms_q13_sp2,ABE,s4_coms_q13_sp2,False,0.0,1
ABE_s2_m&a_q9_sp1,ABE,s2_m&a_q9_sp1,True,1.0,1
ABE_s1_gov_q4_sp5,ABE,s1_gov_q4_sp5,True,1.0,1
ABE_s7_dsi_q22_sp1,ABE,s7_dsi_q22_sp1,False,0.0,2
ABE_s2_m&a_q9_sp6,ABE,s2_m&a_q9_sp6,True,1.0,1
ADU_s3_c&a_q12_sp1,ADU,s3_c&a_q12_sp1,False,0.0,1
ADU_s2_m&a_q8_sp5,ADU,s2_m&a_q8_sp5,False,0.0,1
ADU_s1_gov_q1_sp3,ADU,s1_gov_q1_sp3,True,1.0,1
ADU_s3_c&a_q10_sp2,ADU,s3_c&a_q10_sp2,False,0.0,1
ADU_s2_m&a_q7_sp1,ADU,s2_m&a_q7_sp1,True,1.0,1
ADU_s1_gov_q3_sp1,ADU,s1_gov_q3_sp1,False,0.0,1
ADU_s7_dsi_q22_sp1,ADU,s7_dsi_q22_sp1,False,0.0,2
ADU_s4_coms_q13_sp2,ADU,s4_coms_q13_sp2,False,0.0,1
ADU_s8_est_q25_sp2,ADU,s8_est_q25_sp2,True,1.0,1
ADU_s7_dsi_q23_sp1,ADU,s7_dsi_q23_sp1,False,0.0,1
ADU_s2_m&a_q8_sp1,ADU,s2_m&a_q8_sp1,True,1.0,1
ADU_s9_ee_q27_sp3,ADU,s9_ee_q27_sp3,True,1.0,1
ADU_s4_coms_q14_sp2,ADU,s4_coms_q14_sp2,True,1.0,1
ADU_s3_c&a_q11_sp1,ADU,s3_c&a_q11_sp1,True,1.0,1
ADU_s8_est_q26_sp2,ADU,s8_est_q26_sp2,False,0.0,1
ADU_s6_cb_q20_sp1,ADU,s6_cb_q20_sp1,5 more areas covered,2.0,2
ADU_s1_gov_q2_sp1_v2_b,ADU,s1_gov_q2_sp1_v2_b,A target of 2031 - 2050,1.0,2
ADU_s3_c&a_q11_sp2,ADU,s3_c&a_q11_sp2,False,0.0,1
ADU_s1_gov_q4_sp1,ADU,s1_gov_q4_sp1,False,0.0,1
ADU_s6_cb_q21_sp1,ADU,s6_cb_q21_sp1,True,1.0,1
ADU_s2_m&a_q8_sp4,ADU,s2_m&a_q8_sp4,False,0.0,1
ADU_s1_gov_q2_sp2,ADU,s1_gov_q2_sp2,True,1.0,1
ADU_s8_est_q24_sp1,ADU,s8_est_q24_sp1,False,0.0,1
ADU_s1_gov_q3_sp2,ADU,s1_gov_q3_sp2,False,0.0,1
ADU_s4_coms_q17_sp1,ADU,s4_coms_q17_sp1,True,1.0,1
ADU_s7_dsi_q22_sp2,ADU,s7_dsi_q22_sp2,5 or more areas covered,2.0,2
ADU_s6_cb_q21_sp2,ADU,s6_cb_q21_sp2,False,0.0,1
ADU_s4_coms_q14_sp1,ADU,s4_coms_q14_sp1,True,1.0,1
ADU_s1_gov_q2_sp3,ADU,s1_gov_q2_sp3,3 bullet points covered,1.0,2
ADU_s2_m&a_q8_sp7,ADU,s2_m&a_q8_sp7,False,0.0,1
ADU_s2_m&a_q9_sp1,ADU,s2_m&a_q9_sp1,True,1.0,1
ADU_s2_m&a_q9_sp5,ADU,s2_m&a_q9_sp5,True,1.0,1
ADU_s5_mset_q18_sp2,ADU,s5_mset_q18_sp2,True,1.0,1
ADU_s2_m&a_q9_sp6,ADU,s2_m&a_q9_sp6,False,0.0,1
ADU_s4_coms_q13_sp3_new,ADU,s4_coms_q13_sp3_new,True,1.0,1
ADU_s8_est_q25_sp1,ADU,s8_est_q25_sp1,True,1.0,1
ADU_s1_gov_q5_sp2,ADU,s1_gov_q5_sp2,True,1.0,1
ADU_s3_c&a_q12_sp2,ADU,s3_c&a_q12_sp2,False,0.0,1
ADU_s3_c&a_q10_sp3,ADU,s3_c&a_q10_sp3,False,0.0,1
ADU_s8_est_q26_sp1,ADU,s8_est_q26_sp1,True,1.0,1
ADU_s1_gov_q4_sp2,ADU,s1_gov_q4_sp2,True,1.0,1
ADU_s2_m&a_q8_sp2,ADU,s2_m&a_q8_sp2,True,1.0,1
ADU_s2_m&a_q8_sp3,ADU,s2_m&a_q8_sp3,True,1.0,1
ADU_s2_m&a_q8_sp6,ADU,s2_m&a_q8_sp6,True,1.0,1
ADU_s9_ee_q28_sp1,ADU,s9_ee_q28_sp1,False,0.0,1
ADU_s9_ee_q27_sp2,ADU,s9_ee_q27_sp2,False,0.0,1
ADU_s3_c&a_q10_sp1,ADU,s3_c&a_q10_sp1,True,1.0,1
ADU_s2_m&a_q8_sp9,ADU,s2_m&a_q8_sp9,True,1.0,1
ADU_s1_gov_q1_sp2,ADU,s1_gov_q1_sp2,False,0.0,1
ADU_s1_gov_q6_sp1,ADU,s1_gov_q6_sp1,True,1.0,1
ADU_s4_coms_q15_sp3,ADU,s4_coms_q15_sp3,False,0.0,1
ADU_s1_gov_q5_sp1,ADU,s1_gov_q5_sp1,True,1.0,1
ADU_s2_m&a_q9_sp4,ADU,s2_m&a_q9_sp4,True,1.0,1
ADU_s1_gov_q4_sp3,ADU,s1_gov_q4_sp3,True,1.0,1
ADU_s4_coms_q16_sp1,ADU,s4_coms_q16_sp1,False,0.0,1
ADU_s5_mset_q18_sp1,ADU,s5_mset_q18_sp1,False,0.0,1
ADU_s1_gov_q4_sp5,ADU,s1_gov_q4_sp5,True,1.0,1
ADU_s1_gov_q4_sp4,ADU,s1_gov_q4_sp4,True,1.0,1
ADU_s1_gov_q6_sp2,ADU,s1_gov_q6_sp2,False,0.0,1
ADU_s2_m&a_q8_sp8,ADU,s2_m&a_q8_sp8,True,1.0,1
ADU_s5_mset_q19_sp2,ADU,s5_mset_q19_sp2,True,1.0,1
ADU_s4_coms_q15_sp1,ADU,s4_coms_q15_sp1,True,1.0,1
ADU_s2_m&a_q9_sp7,ADU,s2_m&a_q9_sp7,True,1.0,1
ADU_s1_gov_q2_sp1_v2,ADU,s1_gov_q2_sp1_v2,True,1.0,1
ADU_s5_mset_q18_sp3,ADU,s5_mset_q18_sp3,False,0.0,1
ADU_s2_m&a_q9_sp3,ADU,s2_m&a_q9_sp3,False,0.0,1
ADU_s1_gov_q1_sp1,ADU,s1_gov_q1_sp1,False,0.0,1
ADU_s2_m&a_q9_sp2,ADU,s2_m&a_q9_sp2,True,1.0,1
ADU_s5_mset_q19_sp1,ADU,s5_mset_q19_sp1,True,1.0,1
ADU_s2_m&a_q9_sp8,ADU,s2_m&a_q9_sp8,False,0.0,1
ADU_s9_ee_q27_sp1,ADU,s9_ee_q27_sp1,True,1.0,1
ADU_s4_coms_q15_sp2,ADU,s4_coms_q15_sp2,False,0.0,1
ADU_s1_gov_q6_sp3,ADU,s1_gov_q6_sp3,True,1.0,1
AGB_s5_mset_q19_sp1,AGB,s5_mset_q19_sp1,True,1.0,1
AGB_s1_gov_q5_sp1,AGB,s1_gov_q5_sp1,True,1.0,1
AGB_s3_c&a_q11_sp2,AGB,s3_c&a_q11_sp2,False,0.0,1
AGB_s6_cb_q21_sp1,AGB,s6_cb_q21_sp1,False,0.0,1
AGB_s1_gov_q6_sp3,AGB,s1_gov_q6_sp3,True,1.0,1
AGB_s8_est_q25_sp2,AGB,s8_est_q25_sp2,False,0.0,1
AGB_s3_c&a_q10_sp2,AGB,s3_c&a_q10_sp2,False,0.0,1
AGB_s3_c&a_q12_sp1,AGB,s3_c&a_q12_sp1,True,1.0,1
AGB_s6_cb_q21_sp2,AGB,s6_cb_q21_sp2,False,0.0,1
AGB_s4_coms_q15_sp1,AGB,s4_coms_q15_sp1,True,1.0,1
AGB_s4_coms_q17_sp1,AGB,s4_coms_q17_sp1,True,1.0,1
AGB_s7_dsi_q23_sp1,AGB,s7_dsi_q23_sp1,True,1.0,1
AGB_s1_gov_q3_sp1,AGB,s1_gov_q3_sp1,False,0.0,1
AGB_s9_ee_q27_sp3,AGB,s9_ee_q27_sp3,True,1.0,1
AGB_s8_est_q26_sp1,AGB,s8_est_q26_sp1,False,0.0,1
AGB_s1_gov_q2_sp1_v2,AGB,s1_gov_q2_sp1_v2,False,0.0,1
AGB_s5_mset_q18_sp1,AGB,s5_mset_q18_sp1,True,1.0,1
AGB_s2_m&a_q8_sp7,AGB,s2_m&a_q8_sp7,True,1.0,1
AGB_s2_m&a_q9_sp7,AGB,s2_m&a_q9_sp7,False,0.0,1
AGB_s4_coms_q15_sp3,AGB,s4_coms_q15_sp3,False,0.0,1
AGB_s4_coms_q13_sp2,AGB,s4_coms_q13_sp2,False,0.0,1
AGB_s2_m&a_q9_sp3,AGB,s2_m&a_q9_sp3,True,1.0,1
AGB_s2_m&a_q9_sp2,AGB,s2_m&a_q9_sp2,False,0.0,1
AGB_s7_dsi_q22_sp1,AGB,s7_dsi_q22_sp1,False,0.0,2
AGB_s2_m&a_q8_sp2,AGB,s2_m&a_q8_sp2,False,0.0,1
AGB_s2_m&a_q9_sp6,AGB,s2_m&a_q9_sp6,False,0.0,1
AGB_s4_coms_q13_sp3_new,AGB,s4_coms_q13_sp3_new,False,0.0,1
AGB_s2_m&a_q9_sp1,AGB,s2_m&a_q9_sp1,False,0.0,1
AGB_s2_m&a_q9_sp8,AGB,s2_m&a_q9_sp8,False,0.0,1
AGB_s1_gov_q4_sp1,AGB,s1_gov_q4_sp1,True,1.0,1
AGB_s1_gov_q3_sp2,AGB,s1_gov_q3_sp2,False,0.0,1
AGB_s5_mset_q19_sp2,AGB,s5_mset_q19_sp2,False,0.0,1
AGB_s3_c&a_q10_sp1,AGB,s3_c&a_q10_sp1,True,1.0,1
AGB_s7_dsi_q22_sp2,AGB,s7_dsi_q22_sp2,False,0.0,2
AGB_s1_gov_q6_sp2,AGB,s1_gov_q6_sp2,True,1.0,1
AGB_s2_m&a_q9_sp5,AGB,s2_m&a_q9_sp5,False,0.0,1
AGB_s2_m&a_q8_sp1,AGB,s2_m&a_q8_sp1,True,1.0,1
AGB_s2_m&a_q8_sp9,AGB,s2_m&a_q8_sp9,False,0.0,1
AGB_s3_c&a_q12_sp2,AGB,s3_c&a_q12_sp2,False,0.0,1
AGB_s1_gov_q4_sp4,AGB,s1_gov_q4_sp4,True,1.0,1
AGB_s2_m&a_q8_sp8,AGB,s2_m&a_q8_sp8,False,0.0,1
AGB_s1_gov_q1_sp2,AGB,s1_gov_q1_sp2,True,1.0,1
AGB_s2_m&a_q8_sp3,AGB,s2_m&a_q8_sp3,True,1.0,1
AGB_s1_gov_q4_sp2,AGB,s1_gov_q4_sp2,True,1.0,1
AGB_s4_coms_q15_sp2,AGB,s4_coms_q15_sp2,False,0.0,1
