local-authority-code,section,max_score,score,section_name
BAI,s6_cb,4,2.0,Co-benefits
BAI,s7_dsi,5,0.0,Diversity and inclusion
BAI,s8_est,5,1.0,"Education, skills and training"
BAI,s9_ee,4,2.0,Ecological emergency
BAN,s1_gov,21,13.0,"Governance, development and funding"
BAN,s2_m&a,18,8.0,Mitigation and adaptation
BAN,s3_c&a,7,6.0,Commitment and intergration
BAN,s4_coms,9,5.0,"Community, engagement and communications"
BAN,s5_mset,5,4.0,Measuring and setting emissions targets
BAN,s6_cb,4,2.0,Co-benefits
BAN,s7_dsi,5,0.0,Diversity and inclusion
BAN,s8_est,5,2.0,"Education, skills and training"
BAN,s9_ee,4,2.0,Ecological emergency
BAR,s1_gov,21,5.0,"Governance, development and funding"
BAR,s2_m&a,18,0.0,Mitigation and adaptation
BAR,s3_c&a,7,3.0,Commitment and intergration
BAR,s4_coms,9,3.0,"Community, engagement and communications"
BAR,s5_mset,5,2.0,Measuring and setting emissions targets
BAR,s6_cb,4,1.0,Co-benefits
BAR,s7_dsi,5,0.0,Diversity and inclusion
BAR,s8_est,5,0.0,"Education, skills and training"
BAR,s9_ee,4,0.0,Ecological emergency
BAS,s1_gov,21,7.0,"Governance, development and funding"
BAS,s2_m&a,18,6.0,Mitigation and adaptation
BAS,s3_c&a,7,3.0,Commitment and intergration
BAS,s4_coms,9,8.0,"Community, engagement and communications"
BAS,s5_mset,5,4.0,Measuring and setting emissions targets
BAS,s6_cb,4,0.0,Co-benefits
BAS,s7_dsi,5,1.0,Diversity and inclusion
BAS,s8_est,5,3.0,"Education, skills and training"
BAS,s9_ee,4,3.0,Ecological emergency
BBD,s1_gov,21,8.0,"Governance, development and funding"
BBD,s2_m&a,18,8.0,Mitigation and adaptation
BBD,s3_c&a,7,3.0,Commitment and intergration
BBD,s4_coms,9,6.0,"Community, engagement and communications"
BBD,s5_mset,5,3.0,Measuring and setting emissions targets
BBD,s6_cb,4,3.0,Co-benefits
BBD,s7_dsi,5,0.0,Diversity and inclusion
BBD,s8_est,5,0.0,"Education, skills and training"
BBD,s9_ee,4,2.0,Ecological emergency
BDF,s1_gov,21,13.0,"Governance, development and funding"
BDF,s2_m&a,18,12.0,Mitigation and adaptation
BDF,s3_c&a,7,6.0,Commitment and intergration
BDF,s4_coms,9,6.0,"Community, engagement and communications"
BDF,s5_mset,5,2.0,Measuring and setting emissions targets
BDF,s6_cb,4,2.0,Co-benefits
BDF,s7_dsi,5,0.0,Diversity and inclusion
BDF,s8_est,5,3.0,"Education, skills and training"
BDF,s9_ee,4,2.0,Ecological emergency
BDG,s1_gov,21,5.0,"Governance, development and funding"
BDG,s2_m&a,18,6.0,Mitigation and adaptation
BDG,s3_c&a,7,3.0,Commitment and intergration
BDG,s4_coms,9,3.0,"Community, engagement and communications"
BDG,s5_mset,5,2.0,Measuring and setting emissions targets
BDG,s6_cb,4,3.0,Co-benefits
BDG,s7_dsi,5,2.0,Diversity and inclusion
BDG,s8_est,5,0.0,"Education, skills and training"
BDG,s9_ee,4,2.0,Ecological emergency
BEN,s1_gov,21,14.0,"Governance, development and funding"
BEN,s2_m&a,18,14.0,Mitigation and adaptation
BEN,s3_c&a,7,6.0,Commitment and intergration
BEN,s4_coms,9,6.0,"Community, engagement and communications"
BEN,s5_mset,5,2.0,Measuring and setting emissions targets
BEN,s6_cb,4,4.0,Co-benefits
BEN,s7_dsi,5,4.0,Diversity and inclusion
BEN,s8_est,5,4.0,"Education, skills and training"
BEN,s9_ee,4,3.0,Ecological emergency
BEX,s1_gov,21,0.0,"Governance, development and funding"
BEX,s2_m&a,18,0.0,Mitigation and adaptation
BEX,s3_c&a,7,0.0,Commitment and intergration
BEX,s4_coms,9,0.0,"Community, engagement and communications"
BEX,s5_mset,5,0.0,Measuring and setting emissions targets
BEX,s6_cb,4,0.0,Co-benefits
BEX,s7_dsi,5,0.0,Diversity and inclusion
BEX,s8_est,5,0.0,"Education, skills and training"
BEX,s9_ee,4,0.0,Ecological emergency
BFS,s1_gov,21,4.0,"Governance, development and funding"
BFS,s2_m&a,18,3.0,Mitigation and adaptation
BFS,s3_c&a,7,2.0,Commitment and intergration
BFS,s4_coms,9,2.0,"Community, engagement and communications"
BFS,s5_mset,5,1.0,Measuring and setting emissions targets
BFS,s6_cb,4,2.0,Co-benefits
BFS,s7_dsi,5,0.0,Diversity and inclusion
BFS,s8_est,5,1.0,"Education, skills and training"
BFS,s9_ee,4,0.0,Ecological emergency
BGE,s1_gov,21,0.0,"Governance, development and funding"
BGE,s2_m&a,18,0.0,Mitigation and adaptation
BGE,s3_c&a,7,0.0,Commitment and intergration
BGE,s4_coms,9,0.0,"Community, engagement and communications"
BGE,s5_mset,5,0.0,Measuring and setting emissions targets
BGE,s6_cb,4,0.0,Co-benefits
BGE,s7_dsi,5,0.0,Diversity and inclusion
BGE,s8_est,5,0.0,"Education, skills and training"
BGE,s9_ee,4,0.0,Ecological emergency
BGW,s1_gov,21,2.0,"Governance, development and funding"
BGW,s2_m&a,18,4.0,Mitigation and adaptation
BGW,s3_c&a,7,0.0,Commitment and intergration
BGW,s4_coms,9,2.0,"Community, engagement and communications"
BGW,s5_mset,5,4.0,Measuring and setting emissions targets
BGW,s6_cb,4,1.0,Co-benefits
BGW,s7_dsi,5,0.0,Diversity and inclusion
BGW,s8_est,5,0.0,"Education, skills and training"
BGW,s9_ee,4,0.0,Ecological emergency
BIR,s1_gov,21,11.0,"Governance, development and funding"
BIR,s2_m&a,18,10.0,Mitigation and adaptation
BIR,s3_c&a,7,4.0,Commitment and intergration
BIR,s4_coms,9,5.0,"Community, engagement and communications"
BIR,s5_mset,5,3.0,Measuring and setting emissions targets
BIR,s6_cb,4,3.0,Co-benefits
BIR,s7_dsi,5,2.0,Diversity and inclusion
BIR,s8_est,5,2.0,"Education, skills and training"
BIR,s9_ee,4,2.0,Ecological emergency
BLA,s1_gov,21,11.0,"Governance, development and funding"
BLA,s2_m&a,18,10.0,Mitigation and adaptation
BLA,s3_c&a,7,4.0,Commitment and intergration
BLA,s4_coms,9,7.0,"Community, engagement and communications"
BLA,s5_mset,5,5.0,Measuring and setting emissions targets
BLA,s6_cb,4,2.0,Co-benefits
BLA,s7_dsi,5,0.0,Diversity and inclusion
BLA,s8_est,5,3.0,"Education, skills and training"
BLA,s9_ee,4,1.0,Ecological emergency
BNE,s1_gov,21,0.0,"Governance, development and funding"
BNE,s2_m&a,18,0.0,Mitigation and adaptation
BNE,s3_c&a,7,0.0,Commitment and intergration
BNE,s4_coms,9,0.0,"Community, engagement and communications"
BNE,s5_mset,5,0.0,Measuring and setting emissions targets
BNE,s6_cb,4,0.0,Co-benefits
BNE,s7_dsi,5,0.0,Diversity and inclusion
BNE,s8_est,5,0.0,"Education, skills and training"
BNE,s9_ee,4,0.0,Ecological emergency
BNH,s1_gov,21,11.0,"Governance, development and funding"
BNH,s2_m&a,18,13.0,Mitigation and adaptation
BNH,s3_c&a,7,3.0,Commitment and intergration
BNH,s4_coms,9,8.0,"Community, engagement and communications"
BNH,s5_mset,5,4.0,Measuring and setting emissions targets
BNH,s6_cb,4,3.0,Co-benefits
BNH,s7_dsi,5,2.0,Diversity and inclusion
BNH,s8_est,5,3.0,"Education, skills and training"
BNH,s9_ee,4,4.0,Ecological emergency
BNS,s1_gov,21,8.0,"Governance, development and funding"
BNS,s2_m&a,18,6.0,Mitigation and adaptation
BNS,s3_c&a,7,4.0,Commitment and intergration
BNS,s4_coms,9,5.0,"Community, engagement and communications"
BNS,s5_mset,5,4.0,Measuring and setting emissions targets
BNS,s6_cb,4,2.0,Co-benefits
BNS,s7_dsi,5,1.0,Diversity and inclusion
BNS,s8_est,5,1.0,"Education, skills and training"
BNS,s9_ee,4,1.0,Ecological emergency
BOL,s1_gov,21,4.0,"Governance, development and funding"
BOL,s2_m&a,18,3.0,Mitigation and adaptation
BOL,s3_c&a,7,5.0,Commitment and intergration
BOL,s4_coms,9,6.0,"Community, engagement and communications"
BOL,s5_mset,5,2.0,Measuring and setting emissions targets
BOL,s6_cb,4,3.0,Co-benefits
BOL,s7_dsi,5,1.0,Diversity and inclusion
BOL,s8_est,5,3.0,"Education, skills and training"
BOL,s9_ee,4,2.0,Ecological emergency
BOS,s1_gov,21,7.0,"Governance, development and funding"
BOS,s2_m&a,18,2.0,Mitigation and adaptation
BOS,s3_c&a,7,3.0,Commitment and intergration
BOS,s4_coms,9,4.0,"Community, engagement and communications"
BOS,s5_mset,5,1.0,Measuring and setting emissions targets
BOS,s6_cb,4,3.0,Co-benefits
BOS,s7_dsi,5,1.0,Diversity and inclusion
BOS,s8_est,5,2.0,"Education, skills and training"
BOS,s9_ee,4,1.0,Ecological emergency
BOT,s1_gov,21,0.0,"Governance, development and funding"
BOT,s2_m&a,18,0.0,Mitigation and adaptation
BOT,s3_c&a,7,2.0,Commitment and intergration
BOT,s4_coms,9,3.0,"Community, engagement and communications"
BOT,s5_mset,5,1.0,Measuring and setting emissions targets
BOT,s6_cb,4,0.0,Co-benefits
BOT,s7_dsi,5,0.0,Diversity and inclusion
BOT,s8_est,5,0.0,"Education, skills and training"
BOT,s9_ee,4,1.0,Ecological emergency
BPC,s1_gov,21,10.0,"Governance, development and funding"
BPC,s2_m&a,18,9.0,Mitigation and adaptation
BPC,s3_c&a,7,4.0,Commitment and intergration
BPC,s4_coms,9,6.0,"Community, engagement and communications"
BPC,s5_mset,5,4.0,Measuring and setting emissions targets
BPC,s6_cb,4,2.0,Co-benefits
BPC,s7_dsi,5,0.0,Diversity and inclusion
BPC,s8_est,5,0.0,"Education, skills and training"
BPC,s9_ee,4,3.0,Ecological emergency
BPL,s1_gov,21,10.0,"Governance, development and funding"
BPL,s2_m&a,18,10.0,Mitigation and adaptation
BPL,s3_c&a,7,4.0,Commitment and intergration
BPL,s4_coms,9,9.0,"Community, engagement and communications"
BPL,s5_mset,5,3.0,Measuring and setting emissions targets
BPL,s6_cb,4,2.0,Co-benefits
BPL,s7_dsi,5,1.0,Diversity and inclusion
BPL,s8_est,5,4.0,"Education, skills and training"
BPL,s9_ee,4,3.0,Ecological emergency
BRA,s1_gov,21,5.0,"Governance, development and funding"
BRA,s2_m&a,18,2.0,Mitigation and adaptation
BRA,s3_c&a,7,3.0,Commitment and intergration
BRA,s4_coms,9,7.0,"Community, engagement and communications"
BRA,s5_mset,5,3.0,Measuring and setting emissions targets
BRA,s6_cb,4,3.0,Co-benefits
BRA,s7_dsi,5,0.0,Diversity and inclusion
BRA,s8_est,5,2.0,"Education, skills and training"
BRA,s9_ee,4,1.0,Ecological emergency
BRC,s1_gov,21,7.0,"Governance, development and funding"
BRC,s2_m&a,18,5.0,Mitigation and adaptation
BRC,s3_c&a,7,2.0,Commitment and intergration
BRC,s4_coms,9,1.0,"Community, engagement and communications"
BRC,s5_mset,5,3.0,Measuring and setting emissions targets
BRC,s6_cb,4,0.0,Co-benefits
BRC,s7_dsi,5,0.0,Diversity and inclusion
BRC,s8_est,5,0.0,"Education, skills and training"
BRC,s9_ee,4,0.0,Ecological emergency
BRD,s1_gov,21,2.0,"Governance, development and funding"
BRD,s2_m&a,18,8.0,Mitigation and adaptation
BRD,s3_c&a,7,1.0,Commitment and intergration
BRD,s4_coms,9,1.0,"Community, engagement and communications"
BRD,s5_mset,5,2.0,Measuring and setting emissions targets
BRD,s6_cb,4,0.0,Co-benefits
BRD,s7_dsi,5,0.0,Diversity and inclusion
BRD,s8_est,5,3.0,"Education, skills and training"
BRD,s9_ee,4,1.0,Ecological emergency
BRE,s1_gov,21,7.0,"Governance, development and funding"
BRE,s2_m&a,18,0.0,Mitigation and adaptation
BRE,s3_c&a,7,2.0,Commitment and intergration
BRE,s4_coms,9,3.0,"Community, engagement and communications"
BRE,s5_mset,5,1.0,Measuring and setting emissions targets
BRE,s6_cb,4,0.0,Co-benefits
BRE,s7_dsi,5,0.0,Diversity and inclusion
BRE,s8_est,5,1.0,"Education, skills and training"
BRE,s9_ee,4,1.0,Ecological emergency
BRM,s1_gov,21,2.0,"Governance, development and funding"
BRM,s2_m&a,18,0.0,Mitigation and adaptation
BRM,s3_c&a,7,0.0,Commitment and intergration
BRM,s4_coms,9,3.0,"Community, engagement and communications"
BRM,s5_mset,5,1.0,Measuring and setting emissions targets
BRM,s6_cb,4,0.0,Co-benefits
BRM,s7_dsi,5,0.0,Diversity and inclusion
BRM,s8_est,5,1.0,"Education, skills and training"
BRM,s9_ee,4,0.0,Ecological emergency
BRO,s1_gov,21,0.0,"Governance, development and funding"
BRO,s2_m&a,18,11.0,Mitigation and adaptation
BRO,s3_c&a,7,4.0,Commitment and intergration
BRO,s4_coms,9,1.0,"Community, engagement and communications"
BRO,s5_mset,5,1.0,Measuring and setting emissions targets
BRO,s6_cb,4,1.0,Co-benefits
BRO,s7_dsi,5,0.0,Diversity and inclusion
BRO,s8_est,5,0.0,"Education, skills and training"
BRO,s9_ee,4,4.0,Ecological emergency
BRT,s1_gov,21,5.0,"Governance, development and funding"
BRT,s2_m&a,18,2.0,Mitigation and adaptation
BRT,s3_c&a,7,3.0,Commitment and intergration
BRT,s4_coms,9,4.0,"Community, engagement and communications"
BRT,s5_mset,5,2.0,Measuring and setting emissions targets
BRT,s6_cb,4,1.0,Co-benefits
BRT,s7_dsi,5,0.0,Diversity and inclusion
BRT,s8_est,5,2.0,"Education, skills and training"
BRT,s9_ee,4,0.0,Ecological emergency
BRW,s1_gov,21,0.0,"Governance, development and funding"
BRW,s2_m&a,18,0.0,Mitigation and adaptation
BRW,s3_c&a,7,0.0,Commitment and intergration
BRW,s4_coms,9,0.0,"Community, engagement and communications"
BRW,s5_mset,5,0.0,Measuring and setting emissions targets
BRW,s6_cb,4,0.0,Co-benefits
BRW,s7_dsi,5,0.0,Diversity and inclusion
BRW,s8_est,5,0.0,"Education, skills and training"
BRW,s9_ee,4,0.0,Ecological emergency
BRX,s1_gov,21,6.0,"Governance, development and funding"
BRX,s2_m&a,18,5.0,Mitigation and adaptation
BRX,s3_c&a,7,6.0,Commitment and intergration
BRX,s4_coms,9,3.0,"Community, engagement and communications"
BRX,s5_mset,5,1.0,Measuring and setting emissions targets
BRX,s6_cb,4,0.0,Co-benefits
BRX,s7_dsi,5,1.0,Diversity and inclusion
BRX,s8_est,5,0.0,"Education, skills and training"
BRX,s9_ee,4,1.0,Ecological emergency
BRY,s1_gov,21,14.0,"Governance, development and funding"
BRY,s2_m&a,18,7.0,Mitigation and adaptation
BRY,s3_c&a,7,5.0,Commitment and intergration
BRY,s4_coms,9,5.0,"Community, engagement and communications"
BRY,s5_mset,5,4.0,Measuring and setting emissions targets
BRY,s6_cb,4,3.0,Co-benefits
BRY,s7_dsi,5,1.0,Diversity and inclusion
BRY,s8_est,5,1.0,"Education, skills and training"
BRY,s9_ee,4,3.0,Ecological emergency
BST,s1_gov,21,15.0,"Governance, development and funding"
BST,s2_m&a,18,14.0,Mitigation and adaptation
BST,s3_c&a,7,1.0,Commitment and intergration
BST,s4_coms,9,5.0,"Community, engagement and communications"
BST,s5_mset,5,5.0,Measuring and setting emissions targets
BST,s6_cb,4,4.0,Co-benefits
BST,s7_dsi,5,1.0,Diversity and inclusion
BST,s8_est,5,5.0,"Education, skills and training"
BST,s9_ee,4,3.0,Ecological emergency
BUC,s1_gov,21,5.0,"Governance, development and funding"
BUC,s2_m&a,18,11.0,Mitigation and adaptation
BUC,s3_c&a,7,2.0,Commitment and intergration
BUC,s4_coms,9,5.0,"Community, engagement and communications"
BUC,s5_mset,5,3.0,Measuring and setting emissions targets
BUC,s6_cb,4,1.0,Co-benefits
BUC,s7_dsi,5,0.0,Diversity and inclusion
BUC,s8_est,5,0.0,"Education, skills and training"
BUC,s9_ee,4,2.0,Ecological emergency
BUN,s1_gov,21,0.0,"Governance, development and funding"
BUN,s2_m&a,18,0.0,Mitigation and adaptation
BUN,s3_c&a,7,0.0,Commitment and intergration
BUN,s4_coms,9,0.0,"Community, engagement and communications"
BUN,s5_mset,5,0.0,Measuring and setting emissions targets
BUN,s6_cb,4,0.0,Co-benefits
BUN,s7_dsi,5,0.0,Diversity and inclusion
BUN,s8_est,5,0.0,"Education, skills and training"
BUN,s9_ee,4,0.0,Ecological emergency
BUR,s1_gov,21,10.0,"Governance, development and funding"
BUR,s2_m&a,18,18.0,Mitigation and adaptation
BUR,s3_c&a,7,2.0,Commitment and intergration
BUR,s4_coms,9,6.0,"Community, engagement and communications"
BUR,s5_mset,5,3.0,Measuring and setting emissions targets
BUR,s6_cb,4,4.0,Co-benefits
BUR,s7_dsi,5,2.0,Diversity and inclusion
BUR,s8_est,5,3.0,"Education, skills and training"
BUR,s9_ee,4,2.0,Ecological emergency
CAB,s1_gov,21,10.0,"Governance, development and funding"
CAB,s2_m&a,18,13.0,Mitigation and adaptation
CAB,s3_c&a,7,6.0,Commitment and intergration
CAB,s4_coms,9,7.0,"Community, engagement and communications"
CAB,s5_mset,5,4.0,Measuring and setting emissions targets
CAB,s6_cb,4,3.0,Co-benefits
CAB,s7_dsi,5,3.0,Diversity and inclusion
CAB,s8_est,5,0.0,"Education, skills and training"
CAB,s9_ee,4,3.0,Ecological emergency
CAM,s1_gov,21,11.0,"Governance, development and funding"
CAM,s2_m&a,18,12.0,Mitigation and adaptation
CAM,s3_c&a,5,4.0,Commitment and intergration
CAM,s4_coms,9,5.0,"Community, engagement and communications"
CAM,s5_mset,5,4.0,Measuring and setting emissions targets
CAM,s6_cb,4,0.0,Co-benefits
CAM,s7_dsi,5,0.0,Diversity and inclusion
CAM,s8_est,5,3.0,"Education, skills and training"
CAM,s9_ee,4,3.0,Ecological emergency
CAN,s1_gov,21,0.0,"Governance, development and funding"
CAN,s2_m&a,18,0.0,Mitigation and adaptation
CAN,s3_c&a,7,0.0,Commitment and intergration
CAN,s4_coms,9,0.0,"Community, engagement and communications"
CAN,s5_mset,5,0.0,Measuring and setting emissions targets
CAN,s6_cb,4,0.0,Co-benefits
CAN,s7_dsi,5,0.0,Diversity and inclusion
CAN,s8_est,5,0.0,"Education, skills and training"
CAN,s9_ee,4,0.0,Ecological emergency
CAR,s1_gov,21,14.0,"Governance, development and funding"
CAR,s2_m&a,18,5.0,Mitigation and adaptation
CAR,s3_c&a,7,5.0,Commitment and intergration
CAR,s4_coms,9,6.0,"Community, engagement and communications"
CAR,s5_mset,5,5.0,Measuring and setting emissions targets
CAR,s6_cb,4,3.0,Co-benefits
CAR,s7_dsi,5,0.0,Diversity and inclusion
CAR,s8_est,5,2.0,"Education, skills and training"
CAR,s9_ee,4,1.0,Ecological emergency
CAS,s1_gov,21,0.0,"Governance, development and funding"
CAS,s2_m&a,18,0.0,Mitigation and adaptation
CAS,s3_c&a,7,0.0,Commitment and intergration
CAS,s4_coms,9,0.0,"Community, engagement and communications"
CAS,s5_mset,5,0.0,Measuring and setting emissions targets
CAS,s6_cb,4,0.0,Co-benefits
CAS,s7_dsi,5,0.0,Diversity and inclusion
CAS,s8_est,5,0.0,"Education, skills and training"
CAS,s9_ee,4,0.0,Ecological emergency
CAT,s1_gov,21,12.0,"Governance, development and funding"
CAT,s2_m&a,18,11.0,Mitigation and adaptation
CAT,s3_c&a,7,7.0,Commitment and intergration
CAT,s4_coms,9,4.0,"Community, engagement and communications"
CAT,s5_mset,5,3.0,Measuring and setting emissions targets
CAT,s6_cb,4,4.0,Co-benefits
CAT,s7_dsi,5,1.0,Diversity and inclusion
CAT,s8_est,5,2.0,"Education, skills and training"
CAT,s9_ee,4,3.0,Ecological emergency
CAY,s1_gov,21,9.0,"Governance, development and funding"
CAY,s2_m&a,18,7.0,Mitigation and adaptation
CAY,s3_c&a,7,2.0,Commitment and intergration
CAY,s4_coms,9,3.0,"Community, engagement and communications"
CAY,s5_mset,5,2.0,Measuring and setting emissions targets
CAY,s6_cb,4,0.0,Co-benefits
CAY,s7_dsi,5,0.0,Diversity and inclusion
CAY,s8_est,5,1.0,"Education, skills and training"
